original_affiliation,match_institution_name
"~*,XU Zhi-wen,WANG Yin,ZHU Ling,SUN Zhi-yong,WANG Xiao-yu",xuzhiwenwangyinzhulingsunzhiyongwangxiaoyu
"Armine Kartalian,Elizabeth Gohl,et al",arminekartalianelizabethgohletal
"~1,WANG Ming-chang~2",1wangmingchang2
"tao, WANG Jing",taowangjing
4NAF Fairfax VA United States,4naffairfaxvaunitedstates
"zhou, WAN Zi  ming, CHEN Shi  lu",zhouwanzimingchenshilu
Arqueólogo colegiado nº 13.749,arqueologocolegiadonº13749
ceps/instead,cepsinstead
Sch of Lang Lit Cultures & Linguistics,schoflanglitcultureslinguistics
", YANG Hai-yan HE Qiong:Prof",yanghaiyanheqiongprof
lIU Yan-ming2,liuyanming2
Department of Medical Physiology,departmentofmedicalphysiology
"~1, XIE Guang-qin~2, WANG Wen-juan~1, GONG Yue-sheng~1",1xieguangqin2wangwenjuan1gongyuesheng1
Dept. of Biosurgery,deptofbiosurgery
Department of Stereotactic,departmentofstereo
Department of Endocrinology,departmentofendocrinology
Department of Clinical Biochemistry,departmentofclinicalbiochemistry
Committee For Human Rights,committeeforhumanrights
"Department of Marine Science, New Zealand",departmentofmarinesciencenewzealand
Hôpital de la Colombière,hopitaldelacolombiere
"\|feng,  ZHANG Yao,  ZHANG Jian\|wei,  ZHANG Su\|zhiDept",fengzhangyaozhangjianweizhangsuzhidept
"Epidemiology, Jimma, Ethiopia",epidemiologyjimmaethiopia
Civil Engineering Department,civilengineeringdepartment
", LI Quanqing, WANG Miaoqin",liquanqingwangmiaoqin
"2,PENG Zhi-fang1",2pengzhifang1
Department of Neurology,departmentofneurology
"1GOES, Leliestraat 79",1goesleliestraat79
"Department of Pathology, Athens, Greece (P.D.)",departmentofpathologyathensgreecepd
Higher School of Technology,higherschooloftechnology
Institute of gastrointestinal therapeutic endoscopy.,instituteofgastrointestinaltherapeuticendoscopy
Department of Diabetology,departmentofdiabetology
